,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,Ulaangom,49.9811,92.0667,294.26,25,86,0.05,MN,1621392565
279,Taoudenni,22.6783,-3.9836,309.42,14,27,4.91,ML,1621392567
280,Faanui,-16.4833,-151.75,300.93,74,14,10.28,PF,1621392568
281,Talaya,61.3833,152.75,277.8,62,100,2.98,RU,1621392570
282,Grindavik,63.8424,-22.4338,277.41,69,75,2.25,IS,1621392572
283,Saldanha,-33.0117,17.9442,280.18,72,0,2.97,ZA,1621392575
284,Umluj,25.0213,37.2685,299.81,65,33,3.76,SA,1621392578
285,Bonthe,7.5264,-12.505,299.68,87,100,2.37,SL,1621392580
286,Gospić,44.5461,15.3747,283.98,94,95,1.06,HR,1621392582
287,Honiara,-9.4333,159.95,303.42,70,88,4.28,SB,1621392584
288,Mercedes,-34.6515,-59.4307,283.25,82,92,3.07,AR,1621392585
289,Dicabisagan,17.0818,122.4157,304.72,61,7,3.92,PH,1621392587
290,Itarema,-2.9248,-39.9167,297.82,89,42,3.22,BR,1621392589
291,Māndal,25.45,74.5667,297.44,81,100,8.29,IN,1621392591
292,Nong’an,44.382,125.1685,298.38,28,12,2.12,CN,1621392592
293,Kuusamo,65.9667,29.1833,278.17,100,90,1.54,FI,1621392594
294,Severo-Yeniseyskiy,60.3725,93.0408,274.97,50,96,2.49,RU,1621392596
295,Conde,-7.2597,-34.9075,294.85,89,90,2.21,BR,1621392598
296,Hofn,64.2539,-15.2082,274.68,61,6,5.47,IS,1621392599
297,Gijang,35.2442,129.2139,298.0,69,27,3.91,KR,1621392601
298,Kisi,9.0833,3.85,296.83,87,30,3.12,NG,1621392611
299,Qaqortoq,60.7167,-46.0333,276.1,70,49,2.18,GL,1621392613
300,Barra de Tecoanapa,16.5167,-98.75,301.94,66,2,2.85,MX,1621392614
301,Sept-Îles,50.2001,-66.3821,278.18,95,20,1.54,CA,1621392399
302,Itoman,26.1247,127.6694,306.36,83,75,6.17,JP,1621392618
303,Green River,41.5286,-109.4662,293.37,35,36,9.0,US,1621392619
304,Touros,-5.1989,-35.4608,297.65,87,86,4.45,BR,1621392621
305,Ibrā’,22.6906,58.5334,304.32,21,4,1.06,OM,1621392431
306,Cap-aux-Meules,47.3821,-61.8597,279.18,93,90,6.69,CA,1621392361
307,Siguiri,11.6667,-9.5,303.86,35,90,1.78,GN,1621392626
308,Jumla,29.2747,82.1838,286.55,93,100,1.52,NP,1621392628
309,San Fernando del Valle de Catamarca,-28.4696,-65.7852,293.58,92,76,2.68,AR,1621392367
310,Kota Kinabalu,5.9749,116.0724,304.14,74,20,1.54,MY,1621392631
311,Baruun-Urt,46.6806,113.2792,294.87,29,82,7.19,MN,1621392633
312,Penzance,50.1186,-5.5371,283.71,84,0,8.11,GB,1621392634
313,Dumas,35.8656,-101.9732,287.79,87,75,2.57,US,1621392636
314,Tandaltī,13.0167,31.8667,303.72,51,100,4.54,SD,1621392638
315,Taft,31.7471,54.2088,294.12,21,0,1.83,IR,1621392640
316,Mahébourg,-20.4081,57.7,296.31,88,20,1.54,MU,1621392641
317,Airai,-8.9266,125.4092,295.68,60,73,1.4,TL,1621392643
318,Suda,59.1525,37.5582,290.66,83,6,4.38,RU,1621392645
319,Esperance,-33.8667,121.9,291.06,78,99,3.32,AU,1621392647
320,Saint George,37.1041,-113.5841,305.48,17,1,3.58,US,1621392648
321,Sakaiminato,35.55,133.2333,295.14,68,75,4.12,JP,1621392650
322,Fort-Shevchenko,44.5086,50.263,295.47,39,4,4.0,KZ,1621392652
323,Vostok,46.4856,135.8833,298.26,22,0,4.46,RU,1621392654
324,Haapiti,-17.5667,-149.8667,303.0,70,42,9.16,PF,1621392655
325,Praia da Vitória,38.7333,-27.0667,293.29,83,40,9.09,PT,1621392657
326,Mīrābād,30.4362,61.8383,303.66,9,0,3.73,AF,1621392660
327,Vila Franca do Campo,37.7167,-25.4333,291.38,96,97,4.15,PT,1621392662
328,Funadhoo,6.15,73.2667,301.79,76,62,7.42,MV,1621392664
329,Belūsovka,50.1339,82.5239,291.62,61,90,1.23,KZ,1621392666
330,Fortuna,40.5982,-124.1573,287.7,69,1,2.68,US,1621392667
331,Columbus,39.9612,-82.9988,293.44,63,1,1.86,US,1621392212
332,Bánov,48.988,17.7175,281.04,94,99,1.07,CZ,1621392671
333,Rapid Valley,44.0625,-103.1463,295.17,53,1,6.69,US,1621392672
334,Belebey,54.1167,54.1167,288.95,76,0,5.47,RU,1621392674
335,Kuril'sk,45.2333,147.8833,284.81,47,37,4.53,RU,1621392676
336,La Paz,-16.5,-68.15,279.02,68,23,1.29,BO,1621392211
337,Khawhai,23.3667,93.1167,296.85,49,100,1.55,IN,1621392679
338,Carutapera,-1.195,-46.02,297.82,91,6,2.53,BR,1621392681
339,Nagato,34.3833,131.2,294.93,70,100,3.06,JP,1621392684
340,Severnyy,50.677,36.5532,287.17,94,75,4.0,RU,1621392686
341,Port Hardy,50.6996,-127.4199,281.15,87,90,2.06,CA,1621392600
342,Yongchang,30.0381,119.7317,293.47,95,100,1.49,CN,1621392691
343,Changli,39.7042,119.1506,303.27,24,64,7.45,CN,1621392693
344,Rio Brilhante,-21.8019,-54.5464,291.42,56,0,2.13,BR,1621392694
345,Krasnosel'kup,65.7,82.4667,270.74,60,7,8.38,RU,1621392696
346,Koslan,63.4564,48.8989,289.8,63,61,3.19,RU,1621392698
347,Timizart,36.8,4.2667,290.08,58,5,0.41,DZ,1621392699
348,Lagoa,39.05,-27.9833,290.83,90,100,6.45,PT,1621392701
349,Kropotkin,45.4375,40.5756,287.37,97,100,7.3,RU,1621392703
350,Stokmarknes,68.5646,14.9108,280.65,93,100,6.74,NO,1621392708
351,Moengo,5.6167,-54.4,296.3,96,19,1.02,SR,1621392711
352,Salalah,17.0151,54.0924,300.65,85,27,1.91,OM,1621392713
353,Paamiut,61.994,-49.6678,276.23,75,33,4.18,GL,1621392715
354,Scarborough,54.2797,-0.4044,280.11,87,5,1.34,GB,1621392716
355,Nioro,13.35,-15.75,298.34,60,52,3.63,GM,1621392718
356,Hatfield,51.7634,-0.2242,282.97,95,90,2.16,GB,1621392720
357,San Jerónimo,-11.9472,-75.2829,282.14,78,47,0.62,PE,1621392722
358,La Reforma,18.1,-91.0167,297.65,83,100,5.03,MX,1621392723
359,Nizhniy Kuranakh,58.8353,125.4869,278.74,29,83,2.36,RU,1621392725
360,Ossora,59.2353,163.0719,275.16,94,100,1.85,RU,1621392727
361,Lázaro Cárdenas,17.9583,-102.2,299.43,67,0,2.76,MX,1621392729
362,Merauke,-8.4667,140.3333,301.43,79,100,6.71,ID,1621392730
363,Vao,-22.6667,167.4833,296.11,68,100,8.87,NC,1621392732
364,Manga,11.6636,-1.0731,303.52,48,99,4.14,BF,1621392734
365,Port Macquarie,-31.4333,152.9167,294.76,58,0,3.2,AU,1621392654
366,Khilok,51.3674,110.4676,282.94,64,99,3.41,RU,1621392739
367,Portoferraio,42.8115,10.3146,290.91,80,83,3.94,IT,1621392740
368,Wattegama,6.7989,81.4808,301.66,74,73,2.52,LK,1621392742
369,Kiryat Gat,31.61,34.7642,293.37,80,0,1.77,IL,1621392744
370,Santiago del Estero,-27.7951,-64.2615,293.87,78,100,4.9,AR,1621392694
371,Antalaha,-14.9003,50.2788,295.47,86,90,3.13,MG,1621392747
372,Pangai,-19.8,-174.35,301.21,65,20,7.2,TO,1621392749
373,Vanimo,-2.6741,141.3028,302.98,69,66,2.97,PG,1621392751
374,Karambakkudi,10.4667,79.1333,303.37,58,25,4.03,IN,1621392752
375,Nelson Bay,-32.7167,152.15,294.98,58,0,0.45,AU,1621392754
376,Tegul'det,57.3064,88.1667,282.35,38,79,3.78,RU,1621392756
377,Tiznit Province,29.5833,-9.5,296.39,46,100,0.79,MA,1621392758
378,Otane,-39.8833,176.6333,292.04,58,14,6.18,NZ,1621392759
379,Acajutla,13.5928,-89.8275,300.26,76,24,0.94,SV,1621392761
380,Brawley,32.9787,-115.5303,309.49,24,1,4.81,US,1621392503
381,Barcelos,41.5388,-8.6151,285.33,94,81,2.41,PT,1621392765
382,Linfen,36.0889,111.5189,298.26,27,100,2.93,CN,1621392722
383,Leningradskiy,69.3833,178.4167,274.08,90,66,4.29,RU,1621392768
384,Vermillion,42.7794,-96.9292,290.03,97,97,3.16,US,1621392770
385,Caucayá,-0.1934,-74.7819,294.35,97,71,0.67,CO,1621392773
386,Cerrito,6.8432,-72.694,284.81,93,100,1.81,CO,1621392775
387,Madang,-5.2246,145.7966,303.12,69,79,2.62,PG,1621392776
388,Amursk,50.2261,136.8994,285.02,84,100,2.03,RU,1621392778
389,Mosquera,4.7059,-74.2302,285.2,94,20,1.03,CO,1621392780
390,Arrondissement de Nogent-le-Rotrou,48.3333,1.0,280.73,98,84,4.0,FR,1621392782
391,Coquimbo,-29.9533,-71.3436,287.0,87,75,1.88,CL,1621392783
392,Nouadhibou,20.931,-17.0347,291.14,94,40,3.6,MR,1621392785
393,Saint-Joseph,-21.3667,55.6167,294.36,74,0,1.48,RE,1621392787
394,Margate,51.3813,1.3862,284.38,84,100,0.45,GB,1621392790
395,Wankyi,7.7392,-2.1046,295.53,97,100,1.84,GH,1621392792
396,Omsukchan,62.5333,155.8,273.29,88,99,2.94,RU,1621392794
397,Leh,34.1667,77.5833,280.53,50,75,1.06,IN,1621392795
398,Lebedinyy,58.5167,125.5167,274.74,38,77,3.77,RU,1621392797
399,Tura,25.5198,90.2201,300.43,76,53,2.22,IN,1621392800
400,Dunedin,-45.8742,170.5036,286.93,72,100,8.49,NZ,1621392802
401,Tanete,-3.9443,119.7848,303.9,59,92,4.41,ID,1621392804
402,Mazyr,52.0495,29.2456,284.16,95,37,1.58,BY,1621392806
403,Zhangaözen,43.3,52.8,296.72,24,19,3.69,KZ,1621392807
404,Kholm-Zhirkovskiy,55.5189,33.4731,287.53,93,52,4.11,RU,1621392809
405,Longyearbyen,78.2186,15.6401,269.06,68,40,5.66,SJ,1621392811
406,Arraial do Cabo,-22.9661,-42.0278,295.27,68,71,6.11,BR,1621392813
407,Karlstad,59.3793,13.5036,275.46,94,90,1.36,SE,1621392814
408,Astoria,46.1879,-123.8313,285.94,74,40,4.63,US,1621392659
409,Aizpute,56.7167,21.6,281.72,87,100,2.63,LV,1621392818
410,Gillette,44.2911,-105.5022,293.68,46,88,4.47,US,1621392819
411,Lorengau,-2.0226,147.2712,303.33,67,88,4.23,PG,1621392821
412,Seymchan,62.8833,152.4333,279.5,78,100,2.69,RU,1621392823
413,Bonito,-21.1211,-56.4819,293.83,67,22,0.92,BR,1621392826
414,Benjamin Constant,-4.3831,-70.0311,297.22,98,72,0.29,BR,1621392828
415,Labuhan,-6.8844,112.2051,302.92,67,72,1.44,ID,1621392830
416,Acapulco de Juárez,16.8634,-99.8901,300.76,69,3,2.93,MX,1621392831
417,Abu Samrah,35.3029,37.1841,291.42,49,0,2.41,SY,1621392833
418,Brigantine,39.4101,-74.3646,292.6,71,1,5.72,US,1621392835
419,Port Lincoln,-34.7333,135.8667,292.91,33,100,7.08,AU,1621392838
420,Pyn U Lwin,22.0333,96.4667,300.8,59,100,3.37,MM,1621392840
421,Yārāda,17.65,83.2667,305.33,70,20,5.37,IN,1621392842
422,Mezen',65.8522,44.24,291.06,72,99,4.63,RU,1621392843
423,Kirakira,-10.4544,161.9205,302.17,77,95,5.66,SB,1621392845
424,Grand Gaube,-20.0064,57.6608,296.37,76,0,2.68,MU,1621392847
425,Coyhaique,-45.5752,-72.0662,276.12,93,90,0.0,CL,1621392849
426,Marsh Harbour,26.5412,-77.0636,297.31,71,56,10.81,BS,1621392852
427,Bac Lieu,9.285,105.7244,305.02,59,56,3.09,VN,1621392797
428,Empório,40.4833,21.55,285.84,53,36,1.14,GR,1621392855
429,Montepuez,-13.1256,38.9997,289.54,92,6,4.35,MZ,1621392857
430,Meulaboh,4.1363,96.1285,301.51,69,100,1.21,ID,1621392859
431,Rawson,-43.3002,-65.1023,287.44,73,100,9.46,AR,1621392860
432,Balaipungut,1.05,101.2833,301.38,75,100,0.4,ID,1621392862
433,Broome,42.2506,-75.833,289.64,91,27,0.79,US,1621392864
434,Khovd,48.0056,91.6419,292.62,26,35,2.42,MN,1621392866
435,Katherine,-14.4667,132.2667,304.33,38,0,5.09,AU,1621392867
436,Kurumkan,54.3,110.3,283.64,28,11,4.1,RU,1621392869
437,Lovozero,68.005,35.0117,285.04,90,81,1.45,RU,1621392871
438,Shīeli,44.1667,66.75,301.6,19,4,1.35,KZ,1621392873
439,Yumen,40.2833,97.2,293.08,21,20,7.9,CN,1621392874
440,Kāvali,14.9167,79.9833,306.11,53,97,4.89,IN,1621392876
441,Palmer,42.1584,-72.3287,291.27,72,98,0.86,US,1621392879
442,Tabory,58.5198,64.5495,285.18,56,59,2.56,RU,1621392881
443,San Policarpo,12.1791,125.5072,301.91,79,100,4.36,PH,1621392883
444,Antioquia,7.0,-75.5,285.31,97,100,1.11,CO,1621392885
445,Mount Isa,-20.7333,139.5,301.02,30,3,6.17,AU,1621392886
446,Portland,45.5234,-122.6762,288.14,71,75,0.45,US,1621392728
447,Piskivka,50.6938,29.6193,286.71,97,100,1.22,UA,1621392890
448,Araruama,-22.8728,-42.3431,293.79,79,94,3.5,BR,1621392653
449,Tocopilla,-22.092,-70.1979,291.44,72,27,4.03,CL,1621392893
450,Tshela,-4.9833,12.9333,296.17,100,100,0.36,CD,1621392895
451,Roswell,34.0232,-84.3616,295.29,77,100,0.89,US,1621392896
452,Oriximiná,-1.7656,-55.8661,296.75,94,96,1.25,BR,1621392850
453,Oskemen,49.9565,82.6119,292.13,57,90,1.74,KZ,1621392900
454,Nehe,48.4833,124.8333,294.28,22,56,2.0,CN,1621392916
455,Half Moon Bay,37.4636,-122.4286,291.61,78,1,6.69,US,1621392918
456,Djibouti,11.5,42.5,301.83,15,100,0.94,DJ,1621392920
457,Manaure,11.7751,-72.4445,301.52,71,76,4.39,CO,1621392922
458,Xam Nua,20.4197,104.0439,304.52,44,78,2.87,LA,1621392923
459,Dauphin,51.1494,-100.0502,299.23,34,1,5.66,CA,1621392925
460,Cayenne,4.9333,-52.3333,298.2,90,75,3.42,GF,1621392927
461,Krasne,49.9145,24.6134,283.81,96,100,6.37,UA,1621392930
462,Jardim,-21.4803,-56.1381,294.26,66,6,1.35,BR,1621392932
463,El Dorado,38.7666,-120.5177,293.16,49,0,1.51,US,1621392935
464,Bay Roberts,47.5999,-53.2648,277.32,90,69,0.45,CA,1621392937
465,Kamra,33.7473,73.5111,297.01,37,51,2.34,PK,1621392939
466,Rome,34.257,-85.1647,296.13,81,90,4.21,US,1621392431
467,Laas,46.6166,10.7002,279.61,96,100,3.2,IT,1621392944
468,Northam,51.0333,-4.2167,283.49,87,100,4.7,GB,1621392945
469,Bitung,1.4451,125.1824,299.62,90,100,4.43,ID,1621392947
470,Manavālakurichi,8.1333,77.3,302.2,76,97,3.91,IN,1621392949
471,Biltine,14.5333,20.9167,301.74,11,4,3.19,TD,1621392951
472,Monte Patria,-30.6919,-70.9467,286.66,89,4,0.93,CL,1621392952
473,Codrington,-38.2667,141.9667,289.64,46,100,6.66,AU,1621392954
474,Lufkin,31.3382,-94.7291,296.39,97,97,3.85,US,1621392956
475,Angoche,-16.2325,39.9086,296.4,70,0,4.99,MZ,1621392958
476,Taltal,-25.4,-70.4833,288.38,85,10,1.01,CL,1621392959
477,Sirumugai,11.3333,77.0167,302.91,60,56,0.41,IN,1621392961
478,Vallenar,-28.5708,-70.7581,285.69,92,98,1.04,CL,1621392964
479,Aleksandrov Gay,50.147,48.5704,293.92,46,64,1.51,RU,1621392966
480,Semenivka,52.1783,32.5818,285.04,96,50,3.7,UA,1621392968
481,Bacsay,15.65,120.3333,306.62,38,92,3.61,PH,1621392970
482,Challans,46.8436,-1.8749,284.8,89,2,6.01,FR,1621392972
483,Antofagasta,-23.65,-70.4,290.75,82,41,1.43,CL,1621392963
484,Camacha,33.0833,-16.3333,290.83,72,75,6.17,PT,1621392976
485,Brookhaven,31.5791,-90.4407,295.21,93,100,5.02,US,1621392979
486,Port-Cartier,50.0334,-66.8654,278.01,92,12,1.7,CA,1621392981
487,Chicama,-7.8447,-79.1469,290.45,81,51,2.86,PE,1621392983
488,Huarmey,-10.0681,-78.1522,291.63,87,13,4.12,PE,1621392985
489,El Copé,8.6167,-80.6,293.72,88,38,1.31,PA,1621392986
490,Lagoa Santa,-19.6272,-43.8897,290.69,67,0,1.54,BR,1621392988
491,Beringovskiy,63.05,179.3167,275.87,83,95,3.87,RU,1621392990
492,Murray,40.6669,-111.888,295.67,35,1,0.0,US,1621392992
493,Gorom-Gorom,14.4439,-0.2361,306.09,29,15,4.3,BF,1621392993
494,Bacolod City,10.6667,122.95,304.51,62,94,1.89,PH,1621392995
495,Dwārka,22.2394,68.9678,302.51,58,100,4.64,IN,1621392997
496,Zyryanovsk,49.7386,84.2719,290.38,70,100,0.44,KZ,1621392999
497,Roald,62.5833,6.1333,282.68,93,90,3.09,NO,1621393000
498,Flinders,-34.5833,150.8552,294.36,48,0,1.79,AU,1621393002
499,Colares,38.7992,-9.4469,287.97,78,31,7.6,PT,1621393004
500,Khāsh,28.2211,61.2158,298.73,10,0,0.48,IR,1621393006
501,Vágur,61.4732,-6.8119,278.01,73,100,7.71,FO,1621393007
502,Tananger,58.9333,5.6,282.22,93,90,1.54,NO,1621393009
503,Arrondissement de Cholet,47.1667,-1.0,283.29,98,57,3.64,FR,1621393011
504,Pacific Grove,36.6177,-121.9166,291.14,79,6,2.24,US,1621393013
505,Kulhudhuffushi,6.6221,73.07,302.03,74,47,7.84,MV,1621393014
506,Mushie,-3.0167,16.9,295.52,97,93,1.17,CD,1621393016
507,Halifax,44.6453,-63.5724,285.18,92,72,1.34,CA,1621392725
508,Demyansk,57.643,32.466,289.82,84,28,3.83,RU,1621393021
509,Sabha,27.0377,14.4283,299.86,13,0,5.09,LY,1621393023
510,Tautira,-17.7333,-149.15,303.16,73,27,9.35,PF,1621393024
511,Bubaque,11.2833,-15.8333,298.66,80,89,6.49,GW,1621393026
512,Naze,28.3667,129.4833,294.66,85,100,4.4,JP,1621393028
513,Arlit,18.7369,7.3853,304.43,10,16,2.72,NE,1621393030
514,Iracoubo,5.4802,-53.2011,298.17,89,24,4.23,GF,1621393031
515,Forsytheganj,52.6333,29.7333,285.42,97,100,1.4,BY,1621393033
516,Linxia Chengguanzhen,35.6003,103.2064,288.63,51,20,2.44,CN,1621393035
517,Boende,-0.2167,20.8667,294.87,97,100,0.15,CD,1621393037
518,Tomatlán,19.9333,-105.25,295.53,78,0,0.75,MX,1621393038
519,Bandarbeyla,9.4942,50.8122,300.26,85,50,8.14,SO,1621393040
520,Pathalgaon,22.5667,83.4667,304.95,46,29,2.76,IN,1621393042
521,Mayo,38.8876,-76.5119,292.36,71,0,2.98,US,1621393044
522,Mount Gambier,-37.8333,140.7667,288.1,63,100,6.17,AU,1621392803
523,Leshan,29.5623,103.7639,292.52,89,100,1.03,CN,1621393047
524,Rey Bouba,8.6724,14.1786,299.43,69,95,1.27,CM,1621393049
525,Dire Dawa,9.5931,41.8661,295.31,61,100,3.39,ET,1621393052
526,Ilulissat,69.2167,-51.1,269.6,83,11,3.31,GL,1621393054
527,Campbellton,48.0075,-66.6727,285.4,90,1,1.77,CA,1621393055
528,Akdepe,42.0551,59.3788,296.15,27,54,2.64,TM,1621393057
529,Anaconda,46.1285,-112.9423,281.0,65,77,1.87,US,1621393059
530,Rafrāf,37.1904,10.1837,287.32,68,14,3.98,TN,1621393061
531,Viadana,44.9333,10.5333,287.7,95,98,1.76,IT,1621393062
532,Majene,-3.5403,118.9707,303.02,68,66,1.44,ID,1621393064
533,Bhawana,31.5692,72.649,305.73,30,0,2.87,PK,1621393066
534,Sørland,67.667,12.6934,278.6,86,100,10.78,NO,1621393068
535,Show Low,34.2542,-110.0298,292.21,36,40,6.17,US,1621393069
536,Mugumu,-1.85,34.7,287.13,94,96,1.26,TZ,1621393071
537,Port Blair,11.6667,92.75,302.89,68,100,1.75,IN,1621393073
538,Eureka,40.8021,-124.1637,286.3,79,95,3.13,US,1621393074
539,Mirzāpur,25.15,82.5833,298.13,55,84,2.09,IN,1621393076
540,St. George's,12.0564,-61.7485,299.97,78,20,6.17,GD,1621393078
541,Adré,13.4667,22.2,298.68,12,22,3.77,TD,1621393080
542,Corn Island,12.1694,-83.0418,300.54,77,71,3.75,NI,1621393081
543,La Ronge,55.1001,-105.2842,279.29,70,75,7.2,CA,1621393085
544,Sorong,-0.8833,131.25,301.05,76,100,1.79,ID,1621393086
545,Port Hedland,-20.3167,118.5667,300.18,22,66,3.6,AU,1621393090
546,Mackay,-21.15,149.2,298.53,69,57,8.75,AU,1621392936
547,Road Town,18.4167,-64.6167,299.93,77,12,5.58,VG,1621392980
548,Havre-St-Pierre,50.2334,-63.5986,278.35,100,90,3.09,CA,1621393096
549,Hinton,53.4001,-117.5857,281.17,99,100,2.4,CA,1621393098
550,Diego de Almagro,-26.3667,-70.05,285.37,77,44,0.93,CL,1621393100
551,Pizhma,57.8642,47.1171,289.67,73,84,3.61,RU,1621393101
552,Bairiki Village,1.3292,172.9752,300.15,79,75,5.61,KI,1621393103
553,Talara,-4.5772,-81.2719,293.58,88,89,5.85,PE,1621393105
554,Anadyr,64.75,177.4833,277.43,69,40,5.81,RU,1621393107
555,Bereda,43.2686,-7.5406,282.55,95,79,0.39,ES,1621393108
